time,current[mA],RANGE1[V],RANGE2[V],RANGE3[V],RANGE4[V],24bit[bin]
10:02:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732835
10:02:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732818
10:02:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732820
10:02:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732827
10:02:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
10:02:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
10:03:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
10:03:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
10:03:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732873
10:03:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732870
10:03:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732892
10:03:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732888
10:04:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
10:04:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732870
10:04:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:04:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732879
10:04:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732882
10:04:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732873
10:05:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732881
10:05:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732874
10:05:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732872
10:05:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732873
10:05:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732891
10:05:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732897
10:06:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732900
10:06:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732893
10:06:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732895
10:06:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732914
10:06:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732892
10:06:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732879
10:07:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732893
10:07:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
10:07:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732886
10:07:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732866
10:07:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732869
10:07:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732852
10:08:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732857
10:08:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732858
10:08:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
10:08:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732868
10:08:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732848
10:08:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732862
10:09:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732863
10:09:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732862
10:09:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:09:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
10:09:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732855
10:09:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732858
10:10:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732871
10:10:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732873
10:10:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732872
10:10:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732843
10:10:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732866
10:10:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732862
10:11:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732880
10:11:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732866
10:11:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732889
10:11:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732896
10:11:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
10:11:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732863
10:12:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732884
10:12:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732835
10:12:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
10:12:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732863
10:12:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732823
10:12:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732850
10:13:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732849
10:13:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732851
10:13:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732828
10:13:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732836
10:13:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732847
10:13:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
10:14:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732836
10:14:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732872
10:14:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732851
10:14:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732862
10:14:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732840
10:14:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732855
10:15:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:15:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732829
10:15:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732851
10:15:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732857
10:15:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:15:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:16:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732850
10:16:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732859
